id,name,date_of_birth,nationality
8853,Sarah Hyndman,1980-08-31,Irish
8854,Phil Szostak,1934-04-19,Brazilian
8855,Gabriel Garcia Marquez,1971-11-28,Canadian
8856,Kathy Brown,1939-08-20,French
8857,Shamash Alidina,1959-10-25,German
8858,Peter Prinz,1974-06-07,Swedish
8859,Yiruma,1976-04-01,Italian
8860,Brian Bilston,1953-04-05,Jamaican
8861,Adyashanti,1939-10-26,Chinese
8862,Margaret Duncan,1949-04-25,Australian
8863,Gillian Gloyer,1946-11-09,Irish
8864,Peter Mayle,1920-07-10,Australian
8865,Publishing Kumon,1933-10-13,Italian
8866,Beni Johnson,1938-10-16,Russian
8867,Bill Moggridge,1958-04-16,Polish
8868,William L. Smallwood,1924-11-16,British
8869,Ron Leaf,1927-03-30,Italian
8870,Emma Mitchell,1981-11-23,Kenyan
8871,Don Norman,1940-11-27,French
8872,Clement C. Moore,1933-11-27,French
8873,Liza Charlesworth,1928-07-30,Israeli
8874,Francois Neveux,1969-08-18,Polish
8875,Patrick Rothfuss,1985-10-14,Peruvian
8876,Ricky Tims,1981-08-09,Egyptian
8877,John Kay,1984-02-17,Indian
8878,Will Beemer,1969-05-23,Saudi Arabian
8879,Malcolm Clark,1945-12-14,American
8880,Marco Pierre White,1939-04-07,Turkish
8881,Various Poets,1985-08-24,Jamaican
8882,Bruce H. Lipton,1979-05-13,Jamaican
8883,Simon Bradley,1982-12-27,Korean
8884,Richard P. Feynman,1960-03-13,Japanese
8885,Kathy Sierra,1986-11-26,Mexican
8886,Edy Garcia Schaffer,1949-07-25,American
8887,A.G. Mohan,1975-03-26,Turkish
8888,Philip Sherrard,1971-03-04,Peruvian
8889,Brian Solomon,1933-07-02,Irish
8890,Pierre Herme,1986-02-15,Australian
8891,Lucy Foley,1928-12-20,Peruvian
8892,Anne-marie Faiola,1957-12-20,Jamaican
8893,Sinclair Mckay,1927-08-30,Portuguese
8894,David Pawson,1941-03-14,Nigerian
8895,Francis Chan,1940-12-14,French
8896,Alexander Aciman,1956-07-24,Turkish
8897,Darren McGarvey,1979-08-02,Polish
8898,Jared Blando,1988-08-01,German
8899,Paul M Sammon,1976-05-24,German
8900,Tom Rob Smith,1960-04-25,American
8901,Sarah Moore,1945-12-06,Korean
8902,Jeff Potter,1972-05-26,Peruvian
8903,Frank M. Ahearn,1922-03-22,Korean
8904,Luke Heaton,1964-07-01,French
8905,Skyy,1975-12-14,Turkish
8906,Paulina Cassidy,1970-10-29,Japanese
8907,Tom Stoppard,1967-11-20,Israeli
8908,Myles Baldwin,1977-10-30,Italian
8909,Stephanie Fritz,1925-07-25,Egyptian
8910,Meathead Goldwyn,1972-01-31,Brazilian
8911,Jay Heinrichs,1971-12-11,Kenyan
8912,Matthew Inman,1945-07-23,American
8913,Babette Cole,1975-04-24,Italian
8914,Jun Mochizuki,1923-12-28,Malaysian
8915,Charles Kovacs,1945-05-03,Egyptian
8916,Kristin Cavallari,1937-04-05,Russian
8917,Ann Crile Esselstyn,1987-02-22,Portuguese
8918,Kelly Wilson,1985-04-18,Saudi Arabian
8919,Monica McGoldrick,1969-09-13,Turkish
8920,Francine Shapiro,1923-12-19,Thai
8921,Geraldine James,1959-07-03,Italian
8922,Bryan Mellonie,1923-07-08,Turkish
8923,Joe Navarro,1942-06-25,Russian
8924,Tara Brach,1978-10-31,Turkish
8925,Timothy S Lane,1990-04-01,German
8926,Juliet Marillier,1957-12-08,Israeli
8927,Dr Joel Fuhrman,1934-06-29,Russian
8928,Tom Brady,1922-01-30,French
8929,Sandie Jones,1949-04-24,Jamaican
8930,Dan Buettner,1978-09-14,American
8931,John Richardson,1936-09-10,Chinese
8932,Jaki Bell,1985-03-06,Polish
8933,Armin A. Brott,1925-01-07,French
8934,Steve Mann,1979-10-27,American
8935,Pauline Gibbons,1990-01-09,Italian
8936,John Harrison,1939-03-07,Mexican
8937,Renni Browne,1978-04-14,Mexican
8938,Anastasia Catris,1953-05-28,Irish
8939,David Thompson,1946-06-08,Indian
8940,Anna Starmer,1975-03-10,Egyptian
8941,Athena Calderone,1979-12-14,Portuguese
8942,Margery Williams,1943-11-28,Russian
8943,Hiro Mashima,1938-02-07,Polish
8944,Marie Clay,1966-05-15,Russian
8945,Erin T. Gates,1936-05-23,Brazilian
8946,Jonathan Hickman,1970-11-14,Indian
8947,Patrick Leigh Fermor,1987-02-04,Jamaican
8948,Ian Coomber,1938-12-08,Korean
8949,Tracy Verdugo,1943-12-15,Kenyan
8950,Jana Hocken,1950-03-23,Portuguese
8951,Nicholas Wilton,1927-01-25,Mexican
8952,Elizabeth Day,1976-01-22,Indian
8953,Gary Dierking,1950-02-22,Mexican
8954,Rosemary Alexander,1935-03-28,Turkish
8955,Corey Konieczka,1975-07-14,Canadian
8956,Cheralyn Darcey,1975-11-08,Malaysian
8957,Daniel B. Wallace,1979-02-23,Chinese
8958,Bettina Malle,1922-06-18,Saudi Arabian
8959,Oscar London,1955-07-15,Israeli
8960,Naoko Takeuchi,1942-04-12,Jamaican
8961,Brian Levison,1975-07-30,Mexican
8962,Christopher L. Heuertz,1924-12-17,Malaysian
8963,Sally Magnusson,1977-08-13,Jamaican
8964,Shoshana Zuboff,1984-04-23,Italian
8965,Stephen M. Stahl,1984-05-23,Irish
8966,Maricristin Sealey,1939-04-09,American
8967,Ulrica Nordstroem,1927-11-01,Russian
8968,Steven Desmond,1926-01-11,Malaysian
8969,Michael J. Gelb,1946-03-03,Kenyan
8970,Gene Mustain,1968-10-26,Japanese
8971,David L. Hough,1989-02-13,Australian
8972,Yvon Chouinard,1923-02-06,Peruvian
8973,Ashley Spires,1973-08-03,Chinese
8974,Tieghan Gerard,1945-06-27,Saudi Arabian
8975,Ree Drummond,1972-04-13,British
8976,Danielle Henderson,1957-06-17,Greek
8977,Avery Monsen,1927-01-19,Kenyan
8978,Dr Edith Eva Eger,1932-02-27,Saudi Arabian
8979,John O'Donohue,1932-03-22,American
8980,Constance Starr,1979-02-03,American
8981,Rosie Dickins,1960-08-22,Kenyan
8982,David Morris,1955-06-10,French
8983,Chris (Simpsons Artist),1966-07-31,Jamaican
8984,Eric Evans,1944-05-25,Malaysian
8985,Dan Brown,1944-01-30,Mexican
8986,And Jeff Schroedl Blake,1937-12-17,Brazilian
8987,Katherine Woodward Thomas,1951-12-30,Thai
8988,Chris Stewart,1956-02-04,Jamaican
8989,Jane Foulston,1965-01-29,Nigerian
8990,Edward Monkton,1933-07-01,Brazilian
8991,Chad Sarno,1985-05-06,Canadian
8992,Leigh Patterson,1957-05-28,French
8993,W. David Woods,1989-02-12,Polish
8994,Rita Berman,1925-03-26,Spanish
8995,Masanobu Fukuoka,1985-06-18,Australian
8996,Sarah Robbins,1953-08-28,Mexican
8997,Howard Kissel,1974-06-03,Kenyan
8998,Carl Zimmer,1977-12-07,Korean
8999,James Rebanks,1932-01-18,Israeli
9000,Henrik Ibsen,1926-12-08,Indian
9001,Eloisa James,1962-05-29,Irish
9002,Joann Deak,1924-11-14,Kenyan
9003,Matthew Hussey,1942-04-23,Japanese
9004,Mick Foley,1956-06-30,Korean
9005,Martha Davis,1982-07-28,Peruvian
9006,Rae Hepburn,1966-09-27,Turkish
9007,Jonathan Black,1963-04-27,Kenyan
9008,Kristin Linklater,1939-05-27,Chinese
9009,Audre Lorde,1942-03-18,Israeli
9010,Alan Cooper,1924-04-21,Chinese
9011,Bob Novogratz,1952-09-07,Peruvian
9012,Becky Rapinchuk,1949-09-28,Kenyan
9013,Dave Ramsey,1949-08-07,Swedish
9014,Larry Vance,1929-12-19,Greek
9015,Khloe Kardashian,1957-06-07,Greek
9016,Julian Assange,1921-04-24,Egyptian
9017,Jennifer Galasso,1971-02-12,Portuguese
9018,David Astle,1981-02-08,Saudi Arabian
9019,Debbie Tung,1966-12-20,Japanese
9020,Byron Glaser,1942-06-27,Australian
9021,James Hamilton-Paterson,1973-04-28,American
9022,Dr. Jason Fung,1945-12-07,Canadian
9023,Robert Frost,1969-12-23,Mexican
9024,Susan Yeates,1950-10-29,American
9025,Paul Moss,1948-07-24,Irish
9026,Celeste Barber,1980-10-13,Malaysian
9027,Jean Bobet,1923-05-19,Israeli
9028,Adrian Holliday,1965-10-05,Saudi Arabian
9029,Colin McIntosh,1970-06-10,Saudi Arabian
9030,Robie Rogge,1978-11-25,Russian
9031,Aaron Ross,1921-11-19,Greek
9032,Milli Hill,1921-11-03,Spanish
9033,Kristen Ashley,1959-11-24,Turkish
9034,G.Gregory Haff,1959-04-20,Israeli
9035,Johann Hari,1982-03-19,French
9036,Stephanie Perkins,1973-01-01,Mexican
9037,David Jagneaux,1937-06-13,Jamaican
9038,Matt Richards,1923-05-09,British
9039,Bill Chambers,1971-08-22,Peruvian
9040,Piet Oudolf,1979-07-01,Chinese
9041,Peter Tompkins,1939-01-16,German
9042,Emily Nagoski,1976-05-29,Egyptian
9043,Josh Waitzkin,1958-12-06,French
9044,John D. Kirschmann,1969-10-07,Jamaican
9045,Michael Paterson,1939-12-03,Kenyan
9046,Johannes Fiebig,1938-11-26,Israeli
9047,Daniel Defoe,1971-02-03,Spanish
9048,Darryl Cheng,1941-12-30,German
9049,Jordan Reid,1975-10-27,Thai
9050,Joanne Stepaniak,1959-02-13,Malaysian
9051,Heidi Baker,1926-06-25,Spanish
9052,Mihaly Csikszentmihalyi,1986-08-04,Brazilian
9053,Marguerite van Geldermalsen,1926-04-28,Peruvian
9054,Tim Hannigan,1934-12-31,Egyptian
9055,Michel Lauricella,1944-01-20,Nigerian
9056,Moises Naim,1922-05-31,German
9057,Kiera Cass,1920-03-03,Israeli
9058,Jenny Dean,1935-01-26,Indian
9059,J.K. Rowling,1942-07-15,Spanish
9060,Russell A. Barkley,1945-01-21,Mexican
9061,Wayne C. Booth,1934-08-08,Irish
9062,Ray Newell,1981-12-14,British
9063,Jane Goodall,1927-07-13,Thai
9064,Lisa Gentry,1966-11-03,Egyptian
9065,Dan Rothstein,1956-10-15,Irish
9066,Elizabeth Laird,1962-08-08,Turkish
9067,Gil Gilpatrick,1976-12-25,Kenyan
9068,Robert Moore,1921-08-06,Australian
9069,My Recipe Journal,1930-06-30,Irish
9070,Clare Mackintosh,1924-03-21,Israeli
9071,Louise Candlish,1967-04-13,Russian
9072,Luke Sellers,1982-08-17,Brazilian
9073,B. A. Paris,1967-04-19,Australian
9074,Michael Aaron,1984-09-11,Portuguese
9075,Patricia Cleveland-Peck,1977-04-18,Irish
9076,James Lovelock,1943-12-12,Irish
9077,Thea Harrison,1969-07-18,Russian
9078,Andy Brunning,1963-03-11,Egyptian
9079,Bernard Cornwell,1955-10-19,American
9080,Blythe Roberson,1956-04-27,Polish
9081,Rick Remender,1950-03-16,Thai
9082,The Institution of Engineering and Technology,1971-11-24,Polish
9083,Margaret K. Merga,1971-08-21,Egyptian
9084,Satoshi Wagahara,1959-08-27,Thai
9085,John Drury Clark,1980-10-07,Saudi Arabian
9086,The Mincing Mockingbird,1961-02-27,Mexican
9087,Patricia Cornwell,1923-09-05,Mexican
9088,Henry J. Amen,1933-06-10,Greek
9089,Geoffrey Budworth,1922-02-26,Swedish
9090,Paul Humann,1966-11-02,Mexican
9091,Hartmut Bohnacker,1938-04-03,Brazilian
9092,Martin Cutts,1955-09-03,Irish
9093,Abraham Lincoln,1957-10-26,Irish
9094,General Stanley A. McChrystal,1952-04-28,British
9095,Charles R. Cross,1973-08-27,Greek
9096,Mario Salvadori,1969-03-07,Australian
9097,William Lidwell,1927-05-06,Egyptian
9098,Barbara W. Tuchman,1960-09-29,Brazilian
9099,Ian Mortimer,1923-09-06,Irish
9100,Izabella Wentz,1930-11-28,German
9101,Tom Tierney,1982-06-21,Jamaican
9102,Brooklands Books,1967-11-10,Thai
9103,Sam McBratney,1953-08-16,Korean
9104,Anthony Lambert,1980-01-06,Japanese
9105,Richard Rhodes,1931-02-21,Egyptian
9106,Dean King,1933-09-09,Swedish
9107,Kate Moore,1975-05-12,Turkish
9108,Ronald A. Heifetz,1936-09-05,Indian
9109,Rob Lilwall,1963-12-14,Australian
9110,Stephen Few,1929-09-09,Saudi Arabian
9111,Peter Kim,1931-07-31,Greek
9112,Richard Foster,1958-12-29,American
9113,Rosamunde Pilcher,1958-11-15,Egyptian
9114,James Longworth,1923-09-19,Kenyan
9115,Sally Lloyd-Jones,1984-05-04,Malaysian
9116,Marcus J. Borg,1982-06-26,Australian
9117,William Buckholz,1942-02-10,Italian
9118,Larry Niven,1967-06-06,Jamaican
9119,Richard Henry Dana,1958-07-22,Brazilian
9120,Sue Walker,1964-10-21,Canadian
9121,Jwing-Ming Yang,1972-12-17,Japanese
9122,John Waters,1955-04-06,Egyptian
9123,Niki Segnit,1950-05-31,French
9124,Jamie Bartlett,1938-08-03,Nigerian
9125,Robert Lawlor,1920-01-21,Nigerian
9126,Cally Hall,1922-10-11,Russian
9127,Kami Garcia,1966-03-30,Spanish
9128,Jonathan Baylin,1946-06-19,Russian
9129,Alexey Popov,1968-08-04,Greek
9130,Aziz Ansari,1959-08-25,Japanese
9131,Joan M. Farrell,1969-05-28,Malaysian
9132,Celia Brooks,1943-05-08,Egyptian
9133,Cathy A. Malchiodi,1929-01-26,Israeli
9134,Olivier Le Carrer,1989-02-08,Italian
9135,Kate Pocrass,1948-06-27,Australian
9136,Jessica Knoll,1988-06-15,Turkish
9137,Thomas S. Szasz,1984-03-13,Italian
9138,Wilhelm Richard,1956-03-22,Saudi Arabian
9139,Raymond Clemens,1980-06-11,French
9140,Tom Robinson,1929-01-17,Spanish
9141,Fumiko Chiba,1989-06-16,Turkish
9142,Betty Edwards,1946-01-30,Japanese
9143,William Shakespeare,1985-03-09,Turkish
9144,Jolene Brighten,1963-01-10,Australian
9145,Liane Moriarty,1946-11-04,Kenyan
9146,Bruno Vincent,1969-10-24,Greek
9147,Gichin Funakoshi,1986-09-26,Jamaican
9148,Carol Deppe,1958-04-23,German
9149,Jonathan Green,1930-10-18,Australian
9150,Russ Olsen,1969-08-02,Brazilian
9151,Jimmy Nelson,1942-03-01,Russian
9152,Robert J. Shiller,1966-10-08,Brazilian
9153,Paul Teetor,1961-01-13,Malaysian
9154,Roger Lancelyn Green,1987-07-15,Jamaican
9155,Adam Nicolson,1974-12-21,Swedish
9156,Jemma Kidd,1954-04-21,Kenyan
9157,W. Larry Kenney,1989-03-17,Polish
9158,Collyn Rivers,1921-03-11,Spanish
9159,Bert Powell,1950-10-02,Indian
9160,Tony Robbins,1923-11-25,Jamaican
9161,Julia Lovell,1961-09-02,Nigerian
9162,Elisabeth Gifford,1989-06-07,French
9163,C.  Irene Fountas,1931-04-17,Greek
9164,KAIU SHIRAI,1929-12-15,Mexican
9165,Koushun Takami,1926-08-30,Irish
9166,P. W. Singer,1928-03-08,Egyptian
9167,Helen Elliston,1925-11-02,Korean
9168,Kevin R. Fall,1974-10-26,Peruvian
9169,American College of Sports Medicine,1930-01-26,Canadian
9170,Darcy May,1978-04-07,Korean
9171,Marta McDowell,1944-10-28,Australian
9172,Laird Hamilton,1924-06-02,American
9173,Donald Dressel,1952-12-31,Russian
9174,John Powell,1944-01-18,Nigerian
9175,Elizabeth Chadwick,1956-06-11,Swedish
9176,Edie Eckman,1979-05-16,Saudi Arabian
9177,Roman Pichler,1944-10-23,Portuguese
9178,Kuldeep Singh,1942-01-19,Korean
9179,Marie Browning,1974-11-13,Kenyan
9180,Marilyn Monroe,1961-08-04,Canadian
9181,Beth Chatto,1945-10-21,Nigerian
9182,H. P. Lovecraft,1946-06-22,Jamaican
9183,Kaffe Fassett,1979-01-12,Italian
9184,Tom Danielson,1984-08-10,Italian
9185,Michael Grose,1965-01-18,Mexican
9186,Will Storr,1929-07-19,Korean
9187,Jeph Loeb,1929-12-26,Italian
9188,Eunice Moyle,1958-01-06,American
9189,Natsume Akatsuki,1936-06-03,Chinese
9190,Andrei Alexandrescu,1986-06-29,Italian
9191,Chimamanda Ngozi Adichie,1920-08-16,Irish
9192,Michael Howard,1967-07-18,Brazilian
9193,Edgar Allan Poe,1958-09-18,Chinese
9194,Tim Kirk,1951-05-19,Chinese
9195,Land Rover Limited,1920-01-21,Jamaican
9196,Alastair H. Fitter,1920-05-31,Israeli
9197,Clare Walker Leslie,1926-11-22,Jamaican
9198,Rebecca Campbell,1932-02-17,Australian
9199,Jonathan Kellerman,1936-03-26,Spanish
9200,Wighard Strehlow,1975-03-04,German
9201,Bryan O'Sullivan,1945-09-09,Korean
9202,Caldwell B. Esselstyn,1945-04-20,Israeli
9203,Carolyn L Mein D C,1978-10-27,Israeli
9204,Brittany Samons,1966-03-11,Korean
9205,Esterbauer Verlag,1943-04-02,Irish
9206,Loani Prior,1976-01-16,Chinese
9207,Bruce Sutherland,1923-04-27,Australian
9208,Brendan P Kelso,1954-04-25,Greek
9209,Irin Carmon,1921-01-19,Polish
9210,Stuart Fisher,1949-04-11,Russian
9211,R. A. Burt,1971-10-06,German
9212,Sandy Bartholomew,1981-07-16,French
9213,Mariana Mazzucato,1947-06-15,Canadian
9214,Jessica Seinfeld,1923-11-05,Japanese
9215,Patricia Bazeley,1974-08-26,Russian
9216,Forbes,1949-10-30,Canadian
9217,Kate Summerscale,1965-06-26,Italian
9218,T Marin,1935-11-23,Turkish
9219,Greg Whyte,1982-04-04,Israeli
9220,Pat Hutchins,1947-01-01,British
9221,Helen Czerski,1927-10-21,Egyptian
9222,Tarek Malouf,1973-07-31,Jamaican
9223,Steven Heller,1948-05-03,Thai
9224,Millie Mackintosh,1969-12-26,Irish
9225,dodie,1951-11-22,Swedish
9226,Janice MacLeod,1953-10-14,Thai
9227,Kristy Shen,1932-11-24,American
9228,Dr. Victoria Clarke,1922-11-02,Swedish
9229,Robert Kegan,1928-10-15,Malaysian
9230,Waltraud Suzuki,1945-03-05,Brazilian
9231,Michael Dante DiMartino,1923-02-07,British
9232,Christopher Brickell,1935-11-08,Spanish
9233,David M. Taylor,1943-06-09,Irish
9234,Randall Faber,1965-02-28,Israeli
9235,Mark Kramer,1921-12-30,Thai
9236,Alexander Lowen,1926-01-01,Chinese
9237,Rebecca Traister,1969-02-16,Canadian
9238,Akira Himekawa,1949-04-10,Kenyan
9239,H.David Coulter,1935-08-29,Thai
9240,Martin Jacques,1947-12-11,Portuguese
9241,Sam Harris,1921-02-18,German
9242,Jerry Seinfeld,1976-09-29,Greek
9243,David Niven,1933-01-10,American
9244,David Palladini,1967-02-02,Polish
9245,Nichole Robertson,1925-01-13,Kenyan
9246,Betty Friedan,1956-05-26,Jamaican
9247,Paul Brannigan,1932-03-09,Portuguese
9248,Stephen Ellcock,1923-02-09,German
9249,Linda Hoyt,1982-06-03,Brazilian
9250,Timothy Winegard,1922-03-10,Australian
9251,Peter Leigh,1950-11-24,Malaysian
9252,Martin Hewings,1952-03-28,German
9253,Lev Grossman,1978-05-05,Indian
9254,Amber Rose,1925-08-13,Japanese
9255,Tom Hovey,1929-03-03,Japanese
9256,Patti Kelley Criswell,1958-03-04,Italian
9257,Grant Schofield,1976-02-16,Nigerian
9258,Catherine Failor,1983-08-08,German
9259,Ruth Haley Barton,1933-04-05,French
9260,Susan Kaiser Greenland,1960-12-16,Italian
9261,Estee Lalonde,1960-08-09,Thai
9262,Dave Broom,1920-06-25,Canadian
9263,Julian Jaynes,1969-11-26,Polish
9264,Daniel Siegel,1986-06-09,Spanish
9265,Gillian Higgins,1977-07-17,Greek
9266,Alice Morgan,1989-05-23,Thai
9267,Helen Nearing,1944-07-07,Spanish
9268,E. R. Hooton,1931-08-17,British
9269,Mark Daniels,1965-02-21,Korean
9270,Laurie Leventhal-Belfer,1954-08-22,Malaysian
9271,Matteo Cossu,1983-05-27,Turkish
9272,Haynes,1946-04-12,Polish
9273,Selene Yeager,1964-09-08,Israeli
9274,Naomi Wood,1927-06-17,Greek
9275,Jane Struthers,1921-11-14,Turkish
9276,Gary Davis,1971-10-27,Kenyan
9277,Dr. Lindsay Murray,1946-06-19,Chinese
9278,Carla Oates,1933-07-24,Chinese
9279,Kryon,1968-01-10,Israeli
9280,Tamara Shopsin,1933-06-20,Spanish
9281,Stephen M. R. Covey,1981-11-22,Nigerian
9282,Judy Sheindlin,1927-06-20,Egyptian
9283,Paul Vigna,1952-03-26,American
9284,Robert O. Becker,1979-03-31,Nigerian
9285,saffron barker,1925-08-01,British
9286,Barb Rogers,1970-02-12,Turkish
9287,Jane Werner Watson,1939-01-06,Indian
9288,John Lederach,1953-05-24,Korean
9289,Michael Witwer,1933-08-25,German
9290,Brooklands Books Ltd,1965-06-16,German
9291,Stephane Garnier,1986-11-18,Portuguese
9292,Alberta Hutchinson,1920-07-06,Indian
9293,Louise Tucker,1969-10-14,British
9294,Irvine Welsh,1963-01-04,Turkish
9295,Arianna Stassinopoulos Huffington,1953-10-12,Jamaican
9296,Justina Blakeney,1924-05-31,Saudi Arabian
9297,Stephen Pople,1972-04-24,Canadian
9298,Partha Dasgupta,1979-02-22,Indian
9299,Chris Kyle,1939-11-18,British
9300,Heather Ross,1974-02-13,Polish
9301,Romesh Ranganathan,1940-04-11,Peruvian
9302,Selwyn E. Phipps,1934-07-23,Irish
9303,Lois P. Frankel,1944-12-07,Australian
9304,William Bridges,1945-01-22,Indian
9305,Pascal Mercier,1954-10-08,Russian
9306,Jason Logan,1964-03-04,Canadian
9307,Laura Tuan,1956-08-08,Canadian
9308,George L. Stone,1971-09-19,Spanish
9309,Daniel Cole Young,1952-03-08,Malaysian
9310,Derek Wilson,1981-04-25,British
9311,Billy Graham,1963-03-13,Turkish
9312,Katherine Arden,1927-04-18,Jamaican
9313,Sue Hitzmann,1984-01-06,Jamaican
9314,Joyce Meyer,1939-01-03,Israeli
9315,Caitlin Doughty,1980-02-08,Polish
9316,Marc Taro Holmes,1974-03-22,French
9317,Edward Abbey,1920-11-16,Israeli
9318,Siddhartha Mukherjee,1932-02-10,Nigerian
9319,Merriam-Webster,1932-01-20,Malaysian
9320,Ann Haggar,1970-10-13,Canadian
9321,Mike Chapple,1948-03-26,Japanese
9322,Tony Candela,1938-06-04,Jamaican
9323,Renee Baron,1979-11-16,Greek
9324,Sherry Argov,1923-11-23,Egyptian
9325,Eliyahu M Goldratt,1956-12-29,Japanese
9326,Esphyr Slobodkina,1926-04-17,Peruvian
9327,Soren Sveistrup,1962-02-22,Peruvian
9328,Julie James,1987-02-26,Brazilian
9329,Department of Physics Michio Kaku,1960-12-08,Portuguese
9330,Dr Qing Li,1967-01-04,Turkish
9331,Polly Horner,1935-06-27,Chinese
9332,T Harv Eker,1989-08-17,American
9333,Steve Freeman,1957-04-18,Polish
9334,Craig Brown,1952-07-10,Russian
9335,Professor Keith Devlin,1923-12-20,Chinese
9336,Dawn French,1947-02-26,Nigerian
9337,Tara Delaney,1948-04-09,Chinese
9338,Benjamin C. Pierce,1964-05-27,Egyptian
9339,Jenny Doh,1920-11-06,Greek
9340,Ladies' Homemaker Monthly,1975-07-21,Peruvian
9341,Charlie Ellis,1940-07-31,Irish
9342,Benjamin Hall Kennedy,1947-06-16,Portuguese
9343,Cornelius Tacitus,1967-08-07,Turkish
9344,Grace Coddington,1932-08-17,Italian
9345,Michael Cox,1939-01-06,Malaysian
9346,Fred Kern,1928-01-11,Portuguese
9347,Douglas Luhanko,1968-11-12,Italian
9348,Carl Hester,1925-10-09,Mexican
9349,Jeremy Duff,1929-01-18,British
9350,Og Mandino,1958-06-22,Korean
9351,Hal Elrod,1944-07-23,French
9352,Ray Kurzweil,1951-06-28,Swedish
9353,Matthew Reilly,1958-09-21,Kenyan
9354,Rotella,1932-10-27,German
9355,Daniel Klein,1946-06-28,British
9356,Alberto Capatti,1934-10-20,Malaysian
9357,Marijn Haverbeke,1935-03-28,British
9358,Ann Abrioux,1959-08-05,Thai
9359,Amy Shields,1972-01-05,Mexican
9360,James McBride,1942-12-29,German
9361,Marty Cagan,1983-11-20,Mexican
9362,Gabrielle Boiselle,1925-04-17,American
9363,Fabio Listrani,1953-09-03,Italian
9364,Pearl Barrett,1928-11-24,Canadian
9365,Julian Fitter,1965-01-18,Malaysian
9366,W.Chan Kim,1942-12-17,Australian
9367,Max Porter,1980-04-09,Italian
9368,Noam Chomsky,1924-10-03,Indian
9369,Thucydides,1969-02-14,Australian
9370,Sally Butcher,1979-08-02,Peruvian
9371,Susan Schwake,1958-03-01,Chinese
9372,Heather Askinosie,1966-12-12,French
9373,John Soars,1942-09-29,Jamaican
9374,Dinah Bucholz,1930-11-21,Brazilian
9375,Mo Gawdat,1922-04-10,Korean
9376,Helen Keller,1923-04-18,Saudi Arabian
9377,Jan Sovak,1951-03-03,Nigerian
9378,Dr. Stuart Farrimond,1984-10-31,Nigerian
9379,Lauren Elkin,1943-08-19,Malaysian
9380,Chelsea Handler,1953-08-04,Indian
9381,Deborah Robson,1989-08-05,Israeli
9382,Dr Dan Ariely,1948-05-09,Greek
9383,Alan Nankervis,1945-01-16,Portuguese
9384,Mitchell Albala,1961-02-08,Egyptian
9385,Harvard Business Review,1979-01-05,Italian
9386,Christen Haden,1957-09-29,Swedish
9387,Steven Lee Myers,1965-04-21,Russian
9388,Dominique Crenn,1975-01-07,Japanese
9389,Christine Negroni,1982-08-17,Russian
9390,Suzen Millodot,1937-09-21,Nigerian
9391,Bill Pierce,1934-05-25,Jamaican
9392,Stuart Diamond,1960-01-10,Turkish
9393,Ajalt,1938-01-10,Korean
9394,Stephanie Pearl-McPhee,1985-10-02,Kenyan
9395,Robert C. Martin,1950-06-11,American
9396,Richard Bertinet,1979-03-24,Canadian
9397,A.E. Waite,1962-08-15,Thai
9398,James M. McPherson,1973-12-01,Italian
9399,Eleanor Coerr,1966-12-04,American
9400,P. D. Ouspensky,1968-04-22,Japanese
9401,Larissa Ione,1920-05-13,Japanese
9402,Julie Barton,1976-01-15,German
9403,Audrey Grant,1990-09-08,Thai
9404,Annette Simmons,1974-06-07,American
9405,Chloe Hooper,1989-10-11,Italian
9406,Julius Caesar,1977-02-18,Nigerian
9407,Bruce LaFontaine,1967-06-18,French
9408,Richard Askwith,1986-11-20,American
9409,Thomas Thwaites,1929-04-05,Egyptian
9410,Michele Hill,1922-01-22,American
9411,Andy McVittie,1951-01-24,Saudi Arabian
9412,HRH the Prince of Wales,1936-02-13,Peruvian
9413,Dick Winters,1981-11-02,American
9414,Henri Nouwen,1929-03-27,Greek
9415,Hugh Robertson,1952-11-06,Irish
9416,Anna Kendrick,1931-10-12,Japanese
9417,Paul Kleinman,1939-11-26,Canadian
9418,Valerie Ann Worwood,1959-09-02,American
9419,Gerry Johnson,1920-11-26,Russian
9420,Frank Ostaseski,1971-08-16,Greek
9421,John Elder Robison,1984-11-04,Malaysian
9422,Jane Sowerby,1949-07-24,Malaysian
9423,H I Larry,1969-03-20,Egyptian
9424,Darina Allen,1948-06-13,Israeli
9425,Charlie Connelly,1988-02-03,Peruvian
9426,Sandra Anne Taylor,1921-09-05,Japanese
9427,Glen Pearsall,1933-10-20,Jamaican
9428,Katy Flint,1982-04-04,Chinese
9429,Melanie Joy,1968-04-06,Chinese
9430,Grant Petersen,1949-06-09,Korean
9431,Adele Ahlberg Calhoun,1987-06-12,Kenyan
9432,Pat Lilburn,1978-08-23,Irish
9433,Martin Haake,1983-03-07,Peruvian
9434,Randy Beikmann,1950-07-20,Turkish
9435,John Howard Griffin,1948-06-06,Australian
9436,Alison Raju,1990-02-03,Saudi Arabian
9437,Matt Dixon,1985-12-29,Israeli
9438,Eric Zielinski,1950-07-05,Saudi Arabian
9439,Doug Lowe,1932-06-02,Russian
9440,Christian Wolmar,1983-12-18,Jamaican
9441,Robin Grille,1978-06-21,American
9442,Fred Puhn,1944-06-01,Japanese
9443,Joshua Kerievsky,1954-02-24,Brazilian
9444,Eloise Renouf,1977-05-27,Irish
9445,Scott Meyers,1928-07-02,Mexican
